Code,Literal,Literal_clean,Literal_norm,code_type,chapter,is_icd10,D_P,Description
10D07Z8,Gran extracción,Gran extracción,gran extraccion,procedure,1,True,P,"Extracción de productos de la concepción, otra, abordaje orificio natural o artificial"
4052,Linfadenectomia paraortica,Linfadenectomia paraortica,linfadenectomia paraortica,procedure,4,False,,
J13,Pneumònia Pneumocòccica,Pneumònia Pneumocòccica,pneumonia pneumococcica,diagnosis,J,True,D,Neumonía por Streptococcus pneumoniae
64823,Anemia ferropenica anteparto,Anemia ferropenica anteparto,anemia ferropenica anteparto,procedure,6,False,,
Z228,Rubéola NO inmune,Rubéola NO inmune,rubeola no inmune,diagnosis,Z,True,D,Portador de otras enfermedades infecciosas
70715,Úlcera peu,Úlcera peu,ulcera peu,procedure,7,False,,
0UT70ZZ,BSGC derecho,BSGC derecho,bsgc derecho,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje abierto"
V146,Al#lèrgica al Nolotil,Al#lèrgica al Nolotil,al#lergica al nolotil,diagnosis,V,False,,
4019,HTA crónica,HTA crónica,hta cronica,procedure,4,False,,
9904,cchh,cchh,cchh,procedure,9,False,,
O210,Emesis gravídica,Emesis gravídica,emesis gravidica,diagnosis,O,True,D,Hiperemesis gravídica leve
V861,RE+,RE+,re+,diagnosis,V,True,D,Pasajero de todoterreno especial u otro vehículo todoterreno lesionado en accidente de tráfico
2219,Cirugia endoscopica nasosinusal 2,Cirugia endoscopica nasosinusal 2,cirugia endoscopica nasosinusal 2,procedure,2,False,,
27900,Hipogammaglobulinemia,Hipogammaglobulinemia,hipogammaglobulinemia,procedure,2,False,,
O4292,rpm,rpm,rpm,diagnosis,O,True,D,"Rotura prematura de membranas a término, no especificado el tiempo entre la rotura y el inicio del trabajo de parto"
O1424,hellp,hellp,hellp,diagnosis,O,True,D,"Síndrome de HELLP, que complica el parto"
C679,NEOPLASIA vesical,NEOPLASIA vesical,neoplasia vesical,diagnosis,C,True,D,"Neoplasia maligna de vejiga, no especificada"
Z87448,Cólicos nefríticos de repetición,Cólicos nefríticos de repetición,colicos nefriticos de repeticion,diagnosis,Z,True,D,Historia personal de otras enfermedades del aparato urinario
N4400,torsión testicular derecha,torsión testicular derecha,torsion testicular derecha,diagnosis,N,True,D,"Torsión de testículo, no especificado"
V4574,RTU,RTU,rtu,diagnosis,V,False,,
M40294,Cifosis dorsal,Cifosis dorsal,cifosis dorsal,diagnosis,M,True,D,"Otras cifosis, región dorsal (torácica)"
3E0333Z,metilprednisolona,metilprednisolona,metilprednisolona,procedure,3,True,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo"
Z6740,GSRh:O positivo,GSRh:O positivo,gsrh:o positivo,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh positivo"
V146,Alergía a ibuprofeno,Alergía a ibuprofeno,alergia a ibuprofeno,diagnosis,V,False,,
E039,Hipotirodismo,Hipotirodismo,hipotirodismo,diagnosis,E,True,D,"Hipotiroidismo, no especificado"
Q676,Pectum excavatum,Pectum excavatum,pectum excavatum,diagnosis,Q,True,D,Tórax excavado
66001,podálica 2,podálica 2,podalica 2,procedure,6,False,,
9921,antibiótico,antibiótico,antibiotico,procedure,9,False,,
1811,Otoscòpia,Otoscòpia,otoscopia,procedure,1,False,,
9929,analgésico,analgésico,analgesico,procedure,9,False,,
Q300,Estenosis coana,Estenosis coana,estenosis coana,diagnosis,Q,True,D,Atresia de las coanas
N611,absceso de mama derecha,absceso de mama derecha,absceso de mama derecha,diagnosis,N,True,D,Absceso de mama y pezón
Z6841,IMC 42,IMC 42,imc 42,diagnosis,Z,True,D,"Índice de masa corporal [IMC] 40.0-44.9, adulto"
2820,esferocitosis hereditaria,esferocitosis hereditaria,esferocitosis hereditaria,procedure,2,False,,
C642,"Neoplàsia maligna, ronyó esquerre","Neoplàsia maligna, ronyó esquerre","neoplasia maligna, ronyo esquerre",diagnosis,C,True,D,"Neoplasia maligna de riñón izquierdo, excepto pelvis renal"
Z3A23,23 semanas,23 semanas,23 semanas,diagnosis,Z,True,D,23 semanas de gestación
7428,Encefalopatía CONGENITA,Encefalopatía CONGENITA,encefalopatia congenita,procedure,7,False,,
F17210,TABACO parto,TABACO parto,tabaco parto,diagnosis,F,True,D,"Dependencia de nicotina, cigarrillos, sin complicaciones"
2720,hipercolesterolemia,hipercolesterolemia,hipercolesterolemia,procedure,2,False,,
V252,ligadura tubárica,ligadura tubárica,ligadura tubarica,diagnosis,V,True,D,Motociclista no especificado lesionado en colisión con tren o vehículo ferroviario en un accidente no de tráfico
Z886,Alérgica a Diclofenaco,Alérgica a Diclofenaco,alergica a diclofenaco,diagnosis,Z,True,D,Estado de alergia a analgésico
C19,neoplasia recto-sigma,neoplasia recto-sigma,neoplasia recto-sigma,diagnosis,C,True,D,Neoplasia maligna de unión rectosigmoidea
J300,Rinitis vasomotora,Rinitis vasomotora,rinitis vasomotora,diagnosis,J,True,D,Rinitis vasomotora
I130,hta icc irc,hta icc irc,hta icc irc,diagnosis,I,True,D,Enfermedad cardiaca y renal crónica hipertensiva con insuficiencia cardiaca y enfermedad renal crónica estadios 1 a 4 o enfermedad renal crónica no especificada
E7800,SOP parto,SOP parto,sop parto,diagnosis,E,True,D,"Hipercolesterolemia pura, no especificada"
O6003,Amenaza de parto prematuro,Amenaza de parto prematuro,amenaza de parto prematuro,diagnosis,O,True,D,"Trabajo de parto prematuro sin parto, tercer trimestre"
Z91048,Alérgia polen,Alérgia polen,alergia polen,diagnosis,Z,True,D,Estado de alergia a otras sustancias no medicinales
Z9221,Historia de Qt,Historia de Qt,historia de qt,diagnosis,Z,True,D,Historia personal de quimioterapia antineoplásica
E8809,hipoalbuminemia,hipoalbuminemia,hipoalbuminemia,diagnosis,E,True,D,Otros trastornos del metabolismo de las proteínas plasmáticas no clasificados bajo otro concepto
Z6741,: 0 Negativo,: 0 Negativo,: 0 negativo,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh negativo"
Z6720,Grupo sanguíneo: B+,Grupo sanguíneo: B+,grupo sanguineo: b+,diagnosis,Z,True,D,"Grupo sanguíneo B, Rh positivo"
40390,Hipertensión arterial irc,Hipertensión arterial irc,hipertension arterial irc,procedure,4,False,,
E785,Hiperlipemia part,Hiperlipemia part,hiperlipemia part,diagnosis,E,True,D,"Hiperlipidemia, no especificada"
0UT64ZZ,Anexectomia izquierda laparoscópica,Anexectomia izquierda laparoscópica,anexectomia izquierda laparoscopica,procedure,0,True,P,"Resección de trompa de falopio, izquierda, abordaje endoscópico percutáneo"
501,asbestosis,asbestosis,asbestosis,procedure,5,False,,
Z170,RE +++/+++,RE +++/+++,re +++/+++,diagnosis,Z,True,D,Estado de receptor de estrógeno positivo [RE+]
0SRC0J9,artroplastia total de rodilla derecha,artroplastia total de rodilla derecha,artroplastia total de rodilla derecha,procedure,0,True,P,"Sustitución de articulación rodilla, derecha, con sustituto sintético, cementada, abordaje abierto"
C786,PSEUDOMIXOMA PERITONEAL,PSEUDOMIXOMA PERITONEAL,pseudomixoma peritoneal,diagnosis,C,True,D,Neoplasia maligna secundaria de retroperitoneo y peritoneo
N1830,HTA ERC 3,HTA ERC 3,hta erc 3,diagnosis,N,True,D,"Enfermedad renal crónica, estadio 3 no especificado"
P393,pielonefritis aguda rn,pielonefritis aguda rn,pielonefritis aguda rn,diagnosis,P,True,D,Infección neonatal del tracto urinario
O34211,cesáreas previas,cesáreas previas,cesareas previas,diagnosis,O,True,D,Atención materna por cicatriz transversal baja de cesárea anterior
0VT34ZZ,prostatectomía radical laparoscópica,prostatectomía radical laparoscópica,prostatectomia radical laparoscopica,procedure,0,True,P,"Resección de vesículas seminales, bilateral, abordaje endoscópico percutáneo"
5533,Hèrnia de hiatus,Hèrnia de hiatus,hernia de hiatus,procedure,5,False,,
D62,anemizacion,anemizacion,anemizacion,diagnosis,D,True,D,Anemia poshemorrágica aguda
H53001,Ambliopia OD,Ambliopia OD,ambliopia od,diagnosis,H,True,D,"Ambliopía no especificada, ojo derecho"
I471,TSV,TSV,tsv,diagnosis,I,True,D,Taquicardia supraventricular
3E0P7VZ,prostanglandinas,prostanglandinas,prostanglandinas,procedure,3,True,P,"Introducción en reproductor femenino de hormona, abordaje orificio natural o artificial"
K2940,Gastritis crónica atrofica,Gastritis crónica atrofica,gastritis cronica atrofica,diagnosis,K,True,D,Gastritis crónica atrófica sin hemorragia
Z6741,: O neg,: O neg,: o neg,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh negativo"
O98813,Candidiasis vaginal 3t,Candidiasis vaginal 3t,candidiasis vaginal 3t,diagnosis,O,True,D,"Otras enfermedades infecciosas y parasitarias maternas que complican el embarazo, tercer trimestre"
J189,neumonía basal derecha,neumonía basal derecha,neumonia basal derecha,diagnosis,J,True,D,"Neumonía, microorganismo no especificado"
BY4FZZZ,Ecografía,Ecografía,ecografia,diagnosis,B,True,P,"Ecografía de tercer trimestre, feto único"
O622,Dinámica uterina,Dinámica uterina,dinamica uterina,diagnosis,O,True,D,Otros tipos de inercia uterina
D66,hemofilia,hemofilia,hemofilia,diagnosis,D,True,D,Déficit hereditario del factor VIII
Z942,transplantat pulmonar,transplantat pulmonar,transplantat pulmonar,diagnosis,Z,True,D,Estado de trasplante de pulmón
8703,TC de craneo,TC de craneo,tc de craneo,procedure,8,False,,
9921,Gentamicina,Gentamicina,gentamicina,procedure,9,False,,
E063,hipotiroidismo part,hipotiroidismo part,hipotiroidismo part,diagnosis,E,True,D,Tiroiditis autoinmune
BB4BZZZ,Ecografía torácica,Ecografía torácica,ecografia toracica,diagnosis,B,True,P,Ecografía de pleura
N856,Asherman,Asherman,asherman,diagnosis,N,True,D,Sinequias intrauterinas
D259,mioma uterino,mioma uterino,mioma uterino,diagnosis,D,True,D,"Leiomioma de útero, no especificado"
R571,shock hipovolémico,shock hipovolémico,shock hipovolemico,diagnosis,R,True,D,Shock hipovolémico
E8498,otro,otro,otro,diagnosis,E,False,,
O3413,Mioma subseroso parto,Mioma subseroso parto,mioma subseroso parto,diagnosis,O,True,D,"Atención materna por tumor benigno en el cuerpo del útero, tercer trimestre"
E663,sobrepeso,sobrepeso,sobrepeso,diagnosis,E,True,D,Sobrepeso
F0280,alzheimer,alzheimer,alzheimer,diagnosis,F,True,D,"Demencia en otras enfermedades clasificadas bajo otro concepto, gravedad no especificada, sin alteración del comportamiento, alteración psicótica, alteración del estado de ánimo ni ansiedad"
M109,gota,gota,gota,diagnosis,M,True,D,"Gota, no especificada"
K3189,Metaplasia gástrica,Metaplasia gástrica,metaplasia gastrica,diagnosis,K,True,D,Otras enfermedades de estómago y duodeno
90300,fibroAdenoma juvenil,fibroAdenoma juvenil,fibroadenoma juvenil,procedure,9,False,,
O9902,Anemia ferropénica part,Anemia ferropénica part,anemia ferropenica part,diagnosis,O,True,D,Anemia que complica el parto
64883,Diabetes gestacional antepart,Diabetes gestacional antepart,diabetes gestacional antepart,procedure,6,False,,
49390,Asma,Asma,asma,procedure,4,False,,
5A1955Z,vm 2,vm 2,vm 2,procedure,5,True,P,"Soporte de ventilación, respiratorio, más de 96 horas consecutivas"
V8543,IMC 50,IMC 50,imc 50,diagnosis,V,False,,
O4202,Rotura prematura de membranas 1,Rotura prematura de membranas 1,rotura prematura de membranas 1,diagnosis,O,True,D,"Rotura prematura de membranas a término, inicio del trabajo de parto en las primeras 24 horas de la rotura"
Z370,neonatos,neonatos,neonatos,diagnosis,Z,True,D,Nacido vivo único
2724,Dilsipemia,Dilsipemia,dilsipemia,procedure,2,False,,
G44219,cefalea tensional episodica,cefalea tensional episodica,cefalea tensional episodica,diagnosis,G,True,D,"Cefalea tensional episódica, no intratable"
4139,anginas,anginas,anginas,procedure,4,False,,
F09,Deterioro cognitvo,Deterioro cognitvo,deterioro cognitvo,diagnosis,F,True,D,Trastorno mental no especificado debido a afección fisiológica conocida
O034,aborto séptico,aborto séptico,aborto septico,diagnosis,O,True,D,Aborto espontáneo incompleto sin complicaciones
Z950,Portadora de marcapasos,Portadora de marcapasos,portadora de marcapasos,diagnosis,Z,True,D,Presencia de marcapasos cardíaco
K654,Paniculitis mesentérica,Paniculitis mesentérica,paniculitis mesenterica,diagnosis,K,True,D,Mesenteritis esclerosante
5379,Lesión gástrica,Lesión gástrica,lesion gastrica,procedure,5,False,,
5425,Lavados peritoneal,Lavados peritoneal,lavados peritoneal,procedure,5,False,,
64233,EHE anteparto,EHE anteparto,ehe anteparto,procedure,6,False,,
K439,Hernia epigastrica,Hernia epigastrica,hernia epigastrica,diagnosis,K,True,D,Hernia ventral sin obstrucción ni gangrena
3E03329,antibioterápico,antibioterápico,antibioterapico,procedure,3,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
49390,asma part,asma part,asma part,procedure,4,False,,
0UT74ZZ,Anexectomia bilateral laparoscópica,Anexectomia bilateral laparoscópica,anexectomia bilateral laparoscopica,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
V240,control puerpera,control puerpera,control puerpera,diagnosis,V,True,D,Conductor de motocicleta lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
0DBW0ZZ,PERITONECTOMÍA,PERITONECTOMÍA,peritonectomia,procedure,0,True,P,"Escisión de peritoneo, abordaje abierto"
O9942,insuficiencia mitral parto,insuficiencia mitral parto,insuficiencia mitral parto,diagnosis,O,True,D,Enfermedades del aparato circulatorio que complican el parto
V141,Alergia AUGMENTINE,Alergia AUGMENTINE,alergia augmentine,diagnosis,V,True,D,Pasajero de vehículo a pedales lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
5A1D70Z,dialisis,dialisis,dialisis,procedure,5,True,P,"Soporte de filtración, urinario, intermitente, menos de 6 horas al día"
25000,DMII,DMII,dmii,procedure,2,False,,
F913,Trastorno negativista desafiante,Trastorno negativista desafiante,trastorno negativista desafiante,diagnosis,F,True,D,Trastorno negativista desafiante
9921,Antibioterapia,Antibioterapia,antibioterapia,procedure,9,False,,
0UT70ZZ,HISTERECTOMÍA abdominal RADICAL,HISTERECTOMÍA abdominal RADICAL,histerectomia abdominal radical,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje abierto"
Z9621,Implante coclear,Implante coclear,implante coclear,diagnosis,Z,True,D,Estado de implante coclear
K200,Esofagitis eosinofílica,Esofagitis eosinofílica,esofagitis eosinofilica,diagnosis,K,True,D,Esofagitis eosinofílica
2851,hematies,hematies,hematies,procedure,2,False,,
Z603,Barrera idiomàtica,Barrera idiomàtica,barrera idiomatica,diagnosis,Z,True,D,Dificultades por aculturación
0SBD4ZZ,Meniscectomía izquierda,Meniscectomía izquierda,meniscectomia izquierda,procedure,0,True,P,"Escisión de articulación rodilla, izquierda, abordaje endoscópico percutáneo"
V536,retirada de doble J,retirada de doble J,retirada de doble j,diagnosis,V,True,D,"Pasajero de camioneta o furgoneta lesionado en colisión con coche, camioneta o furgoneta en un accidente de tráfico"
E782,Dislipidemia Mixta,Dislipidemia Mixta,dislipidemia mixta,diagnosis,E,True,D,Hiperlipidemia mixta
Z6710,Grupo sanguíneo materno A rh positivo,Grupo sanguíneo materno A rh positivo,grupo sanguineo materno a rh positivo,diagnosis,Z,True,D,"Grupo sanguíneo A, Rh positivo"
O9972,Psoriasis part,Psoriasis part,psoriasis part,diagnosis,O,True,D,Enfermedades de la piel y el tejido subcutáneo que complican el parto
65401,útero bicorne parto,útero bicorne parto,utero bicorne parto,procedure,6,False,,
10A07ZX,Misoprostol aborto,Misoprostol aborto,misoprostol aborto,procedure,1,True,P,"Aborto de productos de la concepción, con abortivo, abordaje orificio natural o artificial"
0JB40ZZ,quiste branquial,quiste branquial,quiste branquial,procedure,0,True,P,"Escisión de tejido subcutáneo y fascia, cuello lado derecho, abordaje abierto"
O42913,Rotura de membranas prematuro,Rotura de membranas prematuro,rotura de membranas prematuro,diagnosis,O,True,D,"Rotura prematura de membranas pretérmino, no especificado el tiempo entre la rotura y el inicio del trabajo de parto, tercer trimestre"
8828,Radiografía tobillo,Radiografía tobillo,radiografia tobillo,procedure,8,False,,
Z6740,GSrh: O positivo,GSrh: O positivo,gsrh: o positivo,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh positivo"
D242,Papiloma intracanalicular mama izquierda,Papiloma intracanalicular mama izquierda,papiloma intracanalicular mama izquierda,diagnosis,D,True,D,Neoplasia benigna de mama izquierda
O34211,cesáreas anteriores,cesáreas anteriores,cesareas anteriores,diagnosis,O,True,D,Atención materna por cicatriz transversal baja de cesárea anterior
E538,déficit B12,déficit B12,deficit b12,diagnosis,E,True,D,Carencia de otras vitaminas del grupo B especificadas
I81,Trombosis portal,Trombosis portal,trombosis portal,diagnosis,I,True,D,Trombosis de vena porta
8E0W0CZ,PROSTATECTOMÍA RADICAL,PROSTATECTOMÍA RADICAL,prostatectomia radical,procedure,8,True,P,"Otros procedimientos en región del tronco, procedimiento asistido robótico, abordaje abierto"
N859,621.9,621.9,621.9,diagnosis,N,True,D,"Trastorno uterino no inflamatorio, no especificado"
K5730,Divertículos colónica,Divertículos colónica,diverticulos colonica,diagnosis,K,True,D,"Diverticulosis de colon sin perforación ni absceso, sin hemorragia"
1749,cáncer de mama izquierda,cáncer de mama izquierda,cancer de mama izquierda,procedure,1,False,,
71509,Artrosis generalizada,Artrosis generalizada,artrosis generalizada,procedure,7,False,,
I352,doble lesión aórtica,doble lesión aórtica,doble lesion aortica,diagnosis,I,True,D,Estenosis con insuficiencia (de la válvula) aórtica no reumática
9921,antibioticoteràpia,antibioticoteràpia,antibioticoterapia,procedure,9,False,,
0T9680Z,CATÉTER DOBLE J DERECHO,CATÉTER DOBLE J DERECHO,cateter doble j derecho,procedure,0,True,P,"Drenaje en uréter, derecho, con dispositivo de drenaje, abordaje orificio natural o artificial, endoscópico"
Z170,re -,re -,re -,diagnosis,Z,True,D,Estado de receptor de estrógeno positivo [RE+]
2639,malnutricio,malnutricio,malnutricio,procedure,2,False,,
0UQMXZZ,lasceraciones en labios,lasceraciones en labios,lasceraciones en labios,procedure,0,True,P,"Reparación de vulva, abordaje externo"
O9842,Hepatitis C parto,Hepatitis C parto,hepatitis c parto,diagnosis,O,True,D,Hepatitis viral que complica el parto
O99214,Obesitat part,Obesitat part,obesitat part,diagnosis,O,True,D,Obesidad que complica el parto
O9902,talassemia minor parto,talassemia minor parto,talassemia minor parto,diagnosis,O,True,D,Anemia que complica el parto
4011,biopsia de ganglio,biopsia de ganglio,biopsia de ganglio,procedure,4,False,,
3893,Venoclisis,Venoclisis,venoclisis,procedure,3,False,,
C787,metástasis hepáticas,metástasis hepáticas,metastasis hepaticas,diagnosis,C,True,D,Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas
4578,Limfocele,Limfocele,limfocele,procedure,4,False,,
A5901,Trichomonas vaginales,Trichomonas vaginales,trichomonas vaginales,diagnosis,A,True,D,Vulvovaginitis por tricomonas
D259,LEIOMIOMA UTERINO,LEIOMIOMA UTERINO,leiomioma uterino,diagnosis,D,True,D,"Leiomioma de útero, no especificado"
Z952,recambio valvular,recambio valvular,recambio valvular,diagnosis,Z,True,D,Presencia de válvula cardiaca protésica
R6251,retard ponderal,retard ponderal,retard ponderal,diagnosis,R,True,D,Retraso del crecimiento (infantil)
Z6740,"Grupo sanguíneo: 0, Rh: +","Grupo sanguíneo: 0, Rh: +","grupo sanguineo: 0, rh: +",diagnosis,Z,True,D,"Grupo sanguíneo O, Rh positivo"
O24424,Diabetes gestacional Insulina,Diabetes gestacional Insulina,diabetes gestacional insulina,diagnosis,O,True,D,"Diabetes mellitus gestacional en el parto, controlada con insulina"
5712,Cirrosis hepática alcohólica,Cirrosis hepática alcohólica,cirrosis hepatica alcoholica,procedure,5,False,,
I739,Arteriopatia periférica,Arteriopatia periférica,arteriopatia periferica,diagnosis,I,True,D,"Enfermedad vascular periférica, no especificada"
7242,lumbago,lumbago,lumbago,procedure,7,False,,
O1414,PREECLAMPSIA grave,PREECLAMPSIA grave,preeclampsia grave,diagnosis,O,True,D,"Preeclampsia grave, que complica el parto"
G40909,Epilepsia,Epilepsia,epilepsia,diagnosis,G,True,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico"
V8542,imc 46,imc 46,imc 46,diagnosis,V,False,,
64841,anorexia nerviosa parto,anorexia nerviosa parto,anorexia nerviosa parto,procedure,6,False,,
K269,Ulcus gastroduodenal,Ulcus gastroduodenal,ulcus gastroduodenal,diagnosis,K,True,D,"Úlcera duodenal, no especificada como aguda ni como crónica, sin hemorragia ni perforación"
4240,Insuf mitral,Insuf mitral,insuf mitral,procedure,4,False,,
78062,Fiebre post quirúrgica,Fiebre post quirúrgica,fiebre post quirurgica,procedure,7,False,,
I2720,HT pulmonar,HT pulmonar,ht pulmonar,diagnosis,I,True,D,"Hipertensión pulmonar, no especificada"
Z1509,SÍNDROME DE LYNCH,SÍNDROME DE LYNCH,sindrome de lynch,diagnosis,Z,True,D,Susceptibilidad genética a otra neoplasia maligna
0UT70ZZ,Anexectomía bilateral,Anexectomía bilateral,anexectomia bilateral,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje abierto"
E103299,Retinopatía dm 1,Retinopatía dm 1,retinopatia dm 1,diagnosis,E,True,D,"Diabetes mellitus tipo 1 con retinopatía diabética no proliferativa leve sin edema macular, ojo no especificado"
D271,Teratoma Ovario izquierdo,Teratoma Ovario izquierdo,teratoma ovario izquierdo,diagnosis,D,True,D,Neoplasia benigna de ovario izquierdo
5932,Quistes parapiélicos renales,Quistes parapiélicos renales,quistes parapielicos renales,procedure,5,False,,
5198,infecc resp,infecc resp,infecc resp,procedure,5,False,,
E301,Pubertad precoz,Pubertad precoz,pubertad precoz,diagnosis,E,True,D,Pubertad precoz
J439,enfisematoso,enfisematoso,enfisematoso,diagnosis,J,True,D,"Enfisema, no especificado"
R1110,Vómitos,Vómitos,vomitos,diagnosis,R,True,D,"Vómitos, no especificados"
O99284,Déficit Vit D part,Déficit Vit D part,deficit vit d part,diagnosis,O,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
R739,Hiperglucemias,Hiperglucemias,hiperglucemias,diagnosis,R,True,D,"Hiperglucemia, no especificada"
6759,Cerclaje cervical,Cerclaje cervical,cerclaje cervical,procedure,6,False,,
E282,SOPQ,SOPQ,sopq,diagnosis,E,True,D,Síndrome de ovario poliquístico
Z763,Ingreso social,Ingreso social,ingreso social,diagnosis,Z,True,D,Persona sana que acompaña a persona enferma
74781,malformación cerebral,malformación cerebral,malformacion cerebral,procedure,7,False,,
C541,neoplasia endometrial,neoplasia endometrial,neoplasia endometrial,diagnosis,C,True,D,Neoplasia maligna de endometrio
K219,RGE,RGE,rge,diagnosis,K,True,D,Enfermedad por reflujo gastroesofágico sin esofagitis
N189,ERC,ERC,erc,diagnosis,N,True,D,"Enfermedad renal crónica, no especificada"
B020ZZZ,tac craneal,tac craneal,tac craneal,diagnosis,B,True,P,Tomografía computarizada (scanner tc) de cerebro
0JQC0ZZ,RECTOCELE,RECTOCELE,rectocele,procedure,0,True,P,"Reparación de tejido subcutáneo y fascia, región pélvica, abordaje abierto"
B341ZZZ,Ecografía de troncos supraórticos,Ecografía de troncos supraórticos,ecografia de troncos supraorticos,diagnosis,B,True,P,"Ecografía de arteria braquiocefálica-subclavia, derecha"
K5221,FPIES,FPIES,fpies,diagnosis,K,True,D,Síndrome de enterocolitis inducida por proteínas de alimentos
G809,Paràlisi cerebral no especificada,Paràlisi cerebral no especificada,paralisi cerebral no especificada,diagnosis,G,True,D,"Parálisis cerebral, no especificada"
6391,GEU sangrado,GEU sangrado,geu sangrado,procedure,6,False,,
485,bronconeumonia,bronconeumonia,bronconeumonia,procedure,4,False,,
B9620,E. coli,E. coli,e. coli,diagnosis,B,True,D,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto
O694XX0,Vasa previa,Vasa previa,vasa previa,diagnosis,O,True,D,"Trabajo de parto y parto complicados por vasa previa, no aplicable o no especificado"
8553,protesis mamaria,protesis mamaria,protesis mamaria,procedure,8,False,,
D171,lIPOMA LUMBAR,lIPOMA LUMBAR,lipoma lumbar,diagnosis,D,True,D,Neoplasia lipomatosa benigna de piel y tejido subcutáneo de tronco
R1110,Vòmits,Vòmits,vomits,diagnosis,R,True,D,"Vómitos, no especificados"
5559,Chron,Chron,chron,procedure,5,False,,
S52202A,fractura cubit esquerre,fractura cubit esquerre,fractura cubit esquerre,diagnosis,S,True,D,"Fractura no especificada de diáfisis de cúbito izquierdo, contacto inicial por fractura cerrada"
R6521,shock septico,shock septico,shock septico,diagnosis,R,True,D,Sepsis grave con shock séptico
V4382,prótesis mamarias,prótesis mamarias,protesis mamarias,diagnosis,V,False,,
64931,Enfermedad de Von Willebrand parto,Enfermedad de Von Willebrand parto,enfermedad de von willebrand parto,procedure,6,False,,
V140,Alergia a la Penicilina,Alergia a la Penicilina,alergia a la penicilina,diagnosis,V,True,D,Conductor de vehículo a pedales lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
G40909,G40.909,G40.909,g40.909,diagnosis,G,True,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico"
K623,Prolapso rectal,Prolapso rectal,prolapso rectal,diagnosis,K,True,D,Prolapso rectal
57420,Colelitiasis,Colelitiasis,colelitiasis,procedure,5,False,,
Z370,nounat,nounat,nounat,diagnosis,Z,True,D,Nacido vivo único
10D17Z9,extracción manual placenta,extracción manual placenta,extraccion manual placenta,procedure,1,True,P,"Extracción de productos de la concepción, retenidos, manual, abordaje orificio natural o artificial"
Z228,Rubeola Negativa,Rubeola Negativa,rubeola negativa,diagnosis,Z,True,D,Portador de otras enfermedades infecciosas
0DQR0ZZ,Desgarro perineal IIIa,Desgarro perineal IIIa,desgarro perineal iiia,procedure,0,True,P,"Reparación de esfínter anal, abordaje abierto"
Z6740,Grupo sanguíneo materno: 0 Rh: positivo,Grupo sanguíneo materno: 0 Rh: positivo,grupo sanguineo materno: 0 rh: positivo,diagnosis,Z,True,D,"Grupo sanguíneo O, Rh positivo"
0UT74ZZ,doble anexectomía lap,doble anexectomía lap,doble anexectomia lap,procedure,0,True,P,"Resección de trompas de falopio, bilateral, abordaje endoscópico percutáneo"
Z95828,endoprótesis aórtica,endoprótesis aórtica,endoprotesis aortica,diagnosis,Z,True,D,Presencia de otros implantes e injertos vasculares
Z6710,: A pos (,: A pos (,: a pos (,diagnosis,Z,True,D,"Grupo sanguíneo A, Rh positivo"
H900,hipoacusia de transmisión,hipoacusia de transmisión,hipoacusia de transmision,diagnosis,H,True,D,"Hipoacusia conductiva, bilateral"
G441,cefalea vascular,cefalea vascular,cefalea vascular,diagnosis,G,True,D,"Cefalea vascular, no clasificada bajo otro concepto"
2230,angiomiolipoma renal,angiomiolipoma renal,angiomiolipoma renal,procedure,2,False,,
Z602,Reside sola,Reside sola,reside sola,diagnosis,Z,True,D,Problemas relacionados con vivir solo
6208,quiste paratubarico,quiste paratubarico,quiste paratubarico,procedure,6,False,,
64821,anemia ferropénica parto,anemia ferropénica parto,anemia ferropenica parto,procedure,6,False,,
V270,recién nacido,recién nacido,recien nacido,diagnosis,V,True,D,Conductor de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
C539,ca cervix,ca cervix,ca cervix,diagnosis,C,True,D,"Neoplasia maligna de cuello de útero, no especificada"
Z90721,OOFORECTOMÍA IZQUIERDA,OOFORECTOMÍA IZQUIERDA,ooforectomia izquierda,diagnosis,Z,True,D,"Ausencia adquirida de ovario, unilateral"
V270,RN,RN,rn,diagnosis,V,True,D,Conductor de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente no de tráfico
