Code,Literal,Code_clean,Literal_basic,in_icd_reference,D_P,Description
9929,analgesia,9929,analgesia,False,,
88950,miomatoso,88950,miomatoso,False,,
B020ZZZ,tac cerebro,B020ZZZ,tac cerebro,True,P,Tomografía computarizada (scanner tc) de cerebro
J382,Nódulo cuerdas vocales,J382,Nódulo cuerdas vocales,True,D,Nódulos de las cuerdas vocales
6918,Dermatitis atòpica,6918,Dermatitis atòpica,False,,
V606,Residencia,V606,Residencia,True,D,Pasajero de vehículo de transporte pesado lesionado en colisión con peatón o animal en un accidente de tráfico
E1142,polineuropatía diabetica,E1142,polineuropatía diabetica,True,D,Diabetes mellitus tipo 2 con polineuropatía diabética
Z370,RECIÉN NACIDO,Z370,RECIÉN NACIDO,True,D,Nacido vivo único
3E033GC,ferroterapia,3E033GC,ferroterapia,True,P,"Introducción en vena periférica de otra sustancia terapéutica, otra sustancia, abordaje percutáneo"
5185,esfinterotomia,5185,esfinterotomia,False,,
Z8611,Historia de tuberculosis,Z8611,Historia de tuberculosis,True,D,Historia personal de tuberculosis
O99284,HIPOTIROIDISMO part,O99284,HIPOTIROIDISMO part,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
8741,TAC toracoabdominal,8741,TAC toracoabdominal,False,,
8879,ecografía transvaginal,8879,ecografía transvaginal,False,,
9911,inmunoglobulinas,9911,inmunoglobulinas,False,,
O99892,enf PARTO,O99892,enf PARTO,True,D,Otras enfermedades y afecciones especificadas que complican el parto
2662,Deficit de vitamina B12,2662,Deficit de vitamina B12,False,,
R6521,Shock Séptico,R6521,Shock Séptico,True,D,Sepsis grave con shock séptico
Z886,ALERGIA analgesico,Z886,ALERGIA analgesico,True,D,Estado de alergia a analgésico
0HSU0ZZ,MASTOPEXIA IZQUIERDA,0HSU0ZZ,MASTOPEXIA IZQUIERDA,True,P,"Reposición de mama, izquierda, abordaje abierto"
V146,Alérgica a IBUPROFENO,V146,Alérgica a IBUPROFENO,False,,
O99354,Esclerosis multiple parto,O99354,Esclerosis multiple parto,True,D,Enfermedades del sistema nervioso que complican el parto
U071,COVid parto,U071,COVid parto,True,D,COVID-19
7867,AMO tíbia,7867,AMO tíbia,False,,
8541,Mastectomia simple,8541,Mastectomia simple,False,,
6170,adenomiosis,6170,adenomiosis,False,,
R1031,FID,R1031,FID,True,D,Dolor en cuadrante inferior derecho
Z6741,"Grupo sanguíneo materno: 0 , Rh: Negativo",Z6741,"Grupo sanguíneo materno: 0 , Rh: Negativo",True,D,"Grupo sanguíneo O, Rh negativo"
2763,alcalosis metabólica,2763,alcalosis metabólica,False,,
O26893,Anti D,O26893,Anti D,True,D,"Otras afecciones especificadas relacionadas con embarazo, tercer trimestre"
K30,dispepsia funcional,K30,dispepsia funcional,True,D,Dispepsia funcional
BT4JZZZ,Eco vías urinarias,BT4JZZZ,Eco vías urinarias,True,P,Ecografía de riñones y vejiga
R410,Desorientació,R410,Desorientació,True,D,"Desorientación, no especificada"
0UT04ZZ,ANEXECTOMIA DERECHA LAPAROSCOPIA,0UT04ZZ,ANEXECTOMIA DERECHA LAPAROSCOPIA,True,P,"Resección de ovario, derecho, abordaje endoscópico percutáneo"
Z6731,ab negativo,Z6731,ab negativo,True,D,"Grupo sanguíneo AB, Rh negativo"
28803,Neutropènia post quimioteràpia,28803,Neutropènia post quimioteràpia,False,,
M2550,dolor articular,M2550,dolor articular,True,D,Dolor en articulación no especificada
G43909,G43.909,G43909,G43.909,True,D,"Migraña, no especificada, no intratable, sin estatus migrañoso"
H905,sordera neurosensorial,H905,sordera neurosensorial,True,D,Pérdida auditiva neurosensorial no especificada
Z3A40,40+4 semanas,Z3A40,40+4 semanas,True,D,40 semanas de gestación
O334XX0,desproporción cefalo-pélvica,O334XX0,desproporción cefalo-pélvica,True,D,"Atención materna por desproporción de origen mixto materna y fetal, no aplicable o no especificado"
O24424,dga2,O24424,dga2,True,D,"Diabetes mellitus gestacional en el parto, controlada con insulina"
O99344,Ansiedad parto,O99344,Ansiedad parto,True,D,Otros trastornos mentales que complican el parto
0UT90ZL,HISTERECTOMÍA SUBTOTAL,0UT90ZL,HISTERECTOMÍA SUBTOTAL,True,P,"Resección de útero, supracervical, abordaje abierto"
3E0337Z,sueroteràpia,3E0337Z,sueroteràpia,True,P,"Introducción en vena periférica de sustancia para equilibrio hidroelectrolítico, abordaje percutáneo"
J9601,J96.01,J9601,J96.01,True,D,Insuficiencia respiratoria aguda con hipoxia
N390,Infección de orina,N390,Infección de orina,True,D,"Infección de tracto urinario, localización no especificada"
E221,Hiperprolactinemia,E221,Hiperprolactinemia,True,D,Hiperprolactinemia
63310,Embaras ectopic,63310,Embaras ectopic,False,,
V4382,Protesis mamaries,V4382,Protesis mamaries,False,,
78079,Deterioro funcional progresivo,78079,Deterioro funcional progresivo,False,,
A419,shock septico,A419,shock septico,True,D,"Sepsis, microorganismo no especificado"
I471,taquicardia supraventricular,I471,taquicardia supraventricular,True,D,Taquicardia supraventricular
10D17ZZ,LEGRADO Aborto,10D17ZZ,LEGRADO Aborto,True,P,"Extracción de productos de la concepción, retenidos, abordaje orificio natural o artificial"
0TT14ZZ,nefroureterectomía izquierda laparoscópica,0TT14ZZ,nefroureterectomía izquierda laparoscópica,True,P,"Resección de riñón, izquierdo, abordaje endoscópico percutáneo"
O752,febril parto,O752,febril parto,True,D,"Pirexia durante el trabajo de parto, no clasificada bajo otro concepto"
K2090,Esofagitis péptica,K2090,Esofagitis péptica,True,D,"Esofagitis, no especificada sin hemorragia"
J449,Trastorno ventilatorio mixto,J449,Trastorno ventilatorio mixto,True,D,"Enfermedad pulmonar obstructiva crónica, no especificada"
O700,Desgarro tipo I,O700,Desgarro tipo I,True,D,Desgarro perineal de primer grado en el parto
N359,Estenosis uretral,N359,Estenosis uretral,True,D,"Estenosis uretral, no especificada"
3979,Embolización,3979,Embolización,False,,
45981,Insuficiencia venosa crónica,45981,Insuficiencia venosa crónica,False,,
O99214,Obesidad morbida parto,O99214,Obesidad morbida parto,True,D,Obesidad que complica el parto
I495,SÍNDROME BRADI-TAQUICARDIA,I495,SÍNDROME BRADI-TAQUICARDIA,True,D,Síndrome del seno enfermo
0PSHXZZ,reducción cerrada radio derecho,0PSHXZZ,reducción cerrada radio derecho,True,P,"Reposición de radio, derecho, abordaje externo"
O480,Gestación cronológicamente prolongada,O480,Gestación cronológicamente prolongada,True,D,Embarazo postérmino
5423,biopsias peritoneales,5423,biopsias peritoneales,False,,
R339,Retención aguda de orina,R339,Retención aguda de orina,True,D,"Retención urinaria, no especificada"
5342,Herniorrafia umbilical lap,5342,Herniorrafia umbilical lap,False,,
F1011,oh esporadico,F1011,oh esporadico,True,D,"Abuso de alcohol, en remisión"
F17210,Tabaco part,F17210,Tabaco part,True,D,"Dependencia de nicotina, cigarrillos, sin complicaciones"
0UB98ZZ,MIOMECTOMÍA histeroscopica,0UB98ZZ,MIOMECTOMÍA histeroscopica,True,P,"Escisión de útero, abordaje orificio natural o artificial, endoscópico"
F4323,T. adaptativo mixto,F4323,T. adaptativo mixto,True,D,"Trastorno adaptativo mixto, con ansiedad y depresión"
O4292,Rotura de membranas,O4292,Rotura de membranas,True,D,"Rotura prematura de membranas a término, no especificado el tiempo entre la rotura y el inicio del trabajo de parto"
7824,ictericia,7824,ictericia,False,,
3E033NZ,Analgesia,3E033NZ,Analgesia,True,P,"Introducción en vena periférica de analgésicos, hipnóticos, sedantes, abordaje percutáneo"
F4312,estress postraumatico,F4312,estress postraumatico,True,D,"Trastorno por estrés postraumático, crónico"
Z880,alergia a amoxicilina,Z880,alergia a amoxicilina,True,D,Estado de alergia a penicilina
4052,linfadenectomía Aórtica,4052,linfadenectomía Aórtica,False,,
O9962,cólon irritable part,O9962,cólon irritable part,True,D,Enfermedades del aparato digestivo que complican el parto
75234,útero bicorne,75234,útero bicorne,False,,
R55,lipotimia,R55,lipotimia,True,D,Síncope y colapso
D721,eosinofilia,D721,eosinofilia,True,D,Eosinofilia
D320,meningioma frontal derecho,D320,meningioma frontal derecho,True,D,Neoplasia benigna de meninges cerebrales
37400,Entropion,37400,Entropion,False,,
80772,EIN,80772,EIN,False,,
K766,Hipertensión portal,K766,Hipertensión portal,True,D,Hipertensión portal
J343,Hipertrofia de cornete,J343,Hipertrofia de cornete,True,D,Hipertrofia de los cornetes nasales
I499,Arritmia,I499,Arritmia,True,D,"Arritmia cardiaca, no especificada"
V420,Trasplantada renal,V420,Trasplantada renal,True,D,Conductor de coche lesionado en colisión con vehículo motorizado de dos o tres ruedas en un accidente no de tráfico
C6292,NEOPLASIA TESTICULAR izquierdo,C6292,NEOPLASIA TESTICULAR izquierdo,True,D,"Neoplasia maligna de testículo izquierdo, no especificado como descendido o no descendido"
80703,CA EPIDERMOIDE,80703,CA EPIDERMOIDE,False,,
N812,prolapso cervical,N812,prolapso cervical,True,D,Prolapso uterovaginal incompleto
M1990,ARTRITIS,M1990,ARTRITIS,True,D,"Artrosis no especificada, localización no especificada"
Z6721,Grupo sanguíneo materno B negativo,Z6721,Grupo sanguíneo materno B negativo,True,D,"Grupo sanguíneo B, Rh negativo"
V8539,IMc 39,V8539,IMc 39,False,,
0416,Proteus mirabilis,0416,Proteus mirabilis,False,,
R600,edema EII,R600,edema EII,True,D,Edema localizado
R0681,apnea,R0681,apnea,True,D,"Apnea, no clasificada bajo otro concepto"
K8020,Vesícula biliar litiásica,K8020,Vesícula biliar litiásica,True,D,Cálculo de vesícula biliar sin colecistitis sin obstrucción
F1010,Consumo enólico,F1010,Consumo enólico,True,D,"Abuso de alcohol, sin complicaciones"
N400,Síndrome prostático,N400,Síndrome prostático,True,D,Hiperplasia prostática benigna sin síntomas de tracto urinario inferior
60820,Torsió testicular,60820,Torsió testicular,False,,
T490X5A,RAM AINEs,T490X5A,RAM AINEs,True,D,"Efecto adverso de antifúngicos, antiinfecciosos y antiinflamatorios locales, contacto inicial"
3E0233Z,celestone,3E0233Z,celestone,True,P,"Introducción en músculo de anti-inflamatorio, abordaje percutáneo"
F605,Rasgos Obsesivos de la personalidad,F605,Rasgos Obsesivos de la personalidad,True,D,Trastorno de personalidad obsesivo-compulsivo
0TP980Z,RETIRADA DE DOBLE J,0TP980Z,RETIRADA DE DOBLE J,True,P,"Retirada en uréter, de dispositivo de drenaje, abordaje orificio natural o artificial, endoscópico"
D801,Hipogammaglobulinèmia no familiar,D801,Hipogammaglobulinèmia no familiar,True,D,Hipogammaglobulinemia no familiar
0D9670Z,SNG,0D9670Z,SNG,True,P,"Drenaje en estómago, con dispositivo de drenaje, abordaje orificio natural o artificial"
O34219,Cesarea anterior,O34219,Cesarea anterior,True,D,Atención materna por cicatriz de tipo no especificado de cesárea anterior
S060X9A,tce con pérdida de conciencia,S060X9A,tce con pérdida de conciencia,True,D,"Conmoción, con pérdida de conciencia de duración no especificada, contacto inicial"
E8319,Hiperferritinemia,E8319,Hiperferritinemia,True,D,Otros trastornos del metabolismo del hierro
C61,Neoplàsia maligna de pròstata,C61,Neoplàsia maligna de pròstata,True,D,Neoplasia maligna de próstata
O3443,CIN II parto,O3443,CIN II parto,True,D,"Atención materna por otra anomalía del cuello uterino, tercer trimestre"
D252,hipotir parto,D252,hipotir parto,True,D,Leiomioma subseroso de útero
V146,ALERGICA A LA CODEINA,V146,ALERGICA A LA CODEINA,False,,
75233,útero unicorne,75233,útero unicorne,False,,
BW20ZZZ,TAC abd,BW20ZZZ,TAC abd,True,P,Tomografía computarizada (scanner tc) de abdomen
Z21,HIV,Z21,HIV,True,D,Estado de infección asintomática por virus de inmunodeficiencia humana [VIH]
Z3A41,41 SEM,Z3A41,41 SEM,True,D,41 semanas de gestación
3142,Laringoscopia,3142,Laringoscopia,False,,
O9902,Anemia Ferropénica parto,O9902,Anemia Ferropénica parto,True,D,Anemia que complica el parto
8533,mastectomia conservadora de piel con protesis,8533,mastectomia conservadora de piel con protesis,False,,
N950,METRORRAGIA POSTMENOPAUSICA,N950,METRORRAGIA POSTMENOPAUSICA,True,D,Hemorragia posmenopáusica
64231,hTA gestacional parto,64231,hTA gestacional parto,False,,
M419,Hashimoto parto,M419,Hashimoto parto,True,D,Escoliosis no especificada
3E0333Z,corticoteràpia,3E0333Z,corticoteràpia,True,P,"Introducción en vena periférica de anti-inflamatorio, abordaje percutáneo"
O364XX0,656.41,O364XX0,656.41,True,D,"Atención materna por muerte intrauterina, no aplicable o no especificado"
N179,N17.9,N179,N17.9,True,D,"Fallo renal agudo, no especificado"
B954,Streptococcus intermedius,B954,Streptococcus intermedius,True,D,Otros estreptococos como causa de enfermedades clasificadas bajo otro concepto
Z7901,Sintrom,Z7901,Sintrom,True,D,Uso prolongado (actual) de anticoagulantes
N359,Estenosis de uretra,N359,Estenosis de uretra,True,D,"Estenosis uretral, no especificada"
O99354,Fumadora parto,O99354,Fumadora parto,True,D,Enfermedades del sistema nervioso que complican el parto
C541,CA ENDOMETRIO,C541,CA ENDOMETRIO,True,D,Neoplasia maligna de endometrio
Z8611,ha tbc,Z8611,ha tbc,True,D,Historia personal de tuberculosis
Z3A40,40+5 semanas,Z3A40,40+5 semanas,True,D,40 semanas de gestación
C50912,CA. MAMA IZQUIERDO,C50912,CA. MAMA IZQUIERDO,True,D,Neoplasia maligna de localización no especificada de mama femenina izquierda
O99344,trastorno bipolar parto,O99344,trastorno bipolar parto,True,D,Otros trastornos mentales que complican el parto
10907ZC,Amniotomia,10907ZC,Amniotomia,True,P,"Drenaje en productos de la concepción, de líquido amniótico, terapéutico, abordaje orificio natural o artificial"
O99284,intolerancia lactosa parto,O99284,intolerancia lactosa parto,True,D,"Enfermedades endocrinas, nutricionales y metabólicas que complican el parto"
D6851,mutación factor V Leiden,D6851,mutación factor V Leiden,True,D,Resistencia a la proteína C activada
9907,Plasma,9907,Plasma,False,,
84413,carcinoma seroso,84413,carcinoma seroso,False,,
E7211,hashimoto part,E7211,hashimoto part,True,D,Homocistinuria
Z9851,Ligadura tubarica bilateral,Z9851,Ligadura tubarica bilateral,True,D,Estado de ligadura de trompas (de Falopio)
Z370,neonato,Z370,neonato,True,D,Nacido vivo único
8744,Radiografia de tórax,8744,Radiografia de tórax,False,,
282,amigdalectomia,282,amigdalectomia,False,,
1420,neoplasia parotidea,1420,neoplasia parotidea,False,,
1120,Muguet oral,1120,Muguet oral,False,,
Z853,Historia de Carcinoma de mama derecha,Z853,Historia de Carcinoma de mama derecha,True,D,Historia personal de neoplasia maligna de mama
04181,Micoplasma,04181,Micoplasma,False,,
B349,Virasis,B349,Virasis,True,D,"Infección viral, no especificada"
O99891,Hipotiroidismo 3t,O99891,Hipotiroidismo 3t,True,D,Otras enfermedades y afecciones especificadas que complican el embarazo
I871,Sd de May-Thurner,I871,Sd de May-Thurner,True,D,Compresión de vena
78820,retencion urinaria aguda,78820,retencion urinaria aguda,False,,
8876,Ecografia abdomen,8876,Ecografia abdomen,False,,
T8131XA,Dehiscencia de herida quirúrgica,T8131XA,Dehiscencia de herida quirúrgica,True,D,"Ruptura de herida operatoria (quirúrgica) externa, no clasificada bajo otro concepto, contacto inicial"
Z886,Alérgico a los AINES,Z886,Alérgico a los AINES,True,D,Estado de alergia a analgésico
G35,esclerosis múltiple,G35,esclerosis múltiple,True,D,Esclerosis múltiple
Z950,marcapasos DDDR,Z950,marcapasos DDDR,True,D,Presencia de marcapasos cardíaco
78703,VOMITOS,78703,VOMITOS,False,,
G8191,hemiparesia derecha,G8191,hemiparesia derecha,True,D,Hemiplejia no especificada que afecta a lado derecho dominante
O80,part,O80,part,True,D,Admisión para el parto a término no complicado
303,Laringectomía total,303,Laringectomía total,False,,
F329,Depressiva,F329,Depressiva,True,D,"Trastorno depresivo mayor, episodio único, no especificado"
N189,HTA icc irc,N189,HTA icc irc,True,D,"Enfermedad renal crónica, no especificada"
BW03ZZZ,- Rx tórax y abdomen,BW03ZZZ,- Rx tórax y abdomen,True,P,Radiografía simple de tórax
V4582,stent farmacoactivo,V4582,stent farmacoactivo,False,,
650,part,650,part,False,,
N72,Cervicitis,N72,Cervicitis,True,D,Enfermedad inflamatoria del cuello uterino
32723,SAHoS,32723,SAHoS,False,,
U071,COVID,U071,COVID,True,D,COVID-19
3E03328,linezolid,3E03328,linezolid,True,P,"Introducción en vena periférica de anti-infeccioso, oxazolidinonas, abordaje percutáneo"
E8809,hipoalbúminemia,E8809,hipoalbúminemia,True,D,Otros trastornos del metabolismo de las proteínas plasmáticas no clasificados bajo otro concepto
Z370,Hipotirodismo part,Z370,Hipotirodismo part,True,D,Nacido vivo único
0TB70ZZ,nefrectomía radical izquierda abierta,0TB70ZZ,nefrectomía radical izquierda abierta,True,P,"Escisión de uréter, izquierdo, abordaje abierto"
C541,Ca endometrio,C541,Ca endometrio,True,D,Neoplasia maligna de endometrio
D563,Escoliosis parto,D563,Escoliosis parto,True,D,Talasemia menor
Z881,Alergia a Cefalosporinas,Z881,Alergia a Cefalosporinas,True,D,Estado de alergia a otros antibióticos
65921,Febrícula parto,65921,Febrícula parto,False,,
J9601,Insuficiencia respiratoria hipoxémica aguda,J9601,Insuficiencia respiratoria hipoxémica aguda,True,D,Insuficiencia respiratoria aguda con hipoxia
E8495,carrer,E8495,carrer,False,,
64911,obesidad mórbida parto,64911,obesidad mórbida parto,False,,
I083,im ia it,I083,im ia it,True,D,"Trastornos reumáticos combinados de las válvulas mitral, aórtica y tricúspide"
E559,"Déficit de vitamina D,",E559,"Déficit de vitamina D,",True,D,"Carencia de vitamina D, no especificada"
05410,herpes genital parto,05410,herpes genital parto,False,,
4431,Enfermedad de Buerger,4431,Enfermedad de Buerger,False,,
30233N1,transfusión de 2 CH,30233N1,transfusión de 2 CH,True,P,"Transfusión en vena periférica de hematíes, no autólogo, abordaje percutáneo"
Z20822,PCR covid: negativa,Z20822,PCR covid: negativa,True,D,Contacto y (sospecha de) exposición a COVID-19
591,ureterohidronefrosi,591,ureterohidronefrosi,False,,
664,salpinguectomía izquerda,664,salpinguectomía izquerda,False,,
H663X3,Otitis media crónica bilateral,H663X3,Otitis media crónica bilateral,True,D,"Otros tipos de otitis media supurativa crónica, bilateral"
V275,rn 3,V275,rn 3,True,D,Pasajero de motocicleta lesionado en colisión con objeto fijo o estacionado en un accidente de tráfico
BW40ZZZ,Ecografía Abdominal,BW40ZZZ,Ecografía Abdominal,True,P,Ecografía de abdomen
Z228,rubeola no inmune,Z228,rubeola no inmune,True,D,Portador de otras enfermedades infecciosas
G4735,G47.35,G4735,G47.35,True,D,Síndrome de hipoventilación alveolar central congénita
O9852,cmv parto,O9852,cmv parto,True,D,Otras enfermedades virales que complican el parto
N8302,Ovarios con múltiples quistes foliculares,N8302,Ovarios con múltiples quistes foliculares,True,D,Quiste folicular de ovario izquierdo
H209,UVEÏTIS,H209,UVEÏTIS,True,D,Iridociclitis no especificada
64213,HTA irc anteparto,64213,HTA irc anteparto,False,,
I4510,BIRD,I4510,BIRD,True,D,Bloqueo de rama derecha no especificado
Z803,historia familiar ca Mama,Z803,historia familiar ca Mama,True,D,Historia familiar de neoplasia maligna de mama
V8542,IMC:48,V8542,IMC:48,False,,
R000,taquicardica,R000,taquicardica,True,D,"Taquicardia, no especificada"
8878,ecografías obs,8878,ecografías obs,False,,
O9081,anemai pp,O9081,anemai pp,True,D,Anemia puerperal
7020,Queratosis actínicas,7020,Queratosis actínicas,False,,
B32TZZZ,AngioTC toracic,B32TZZZ,AngioTC toracic,True,P,"Tomografía computarizada (scanner tc) de arteria pulmonar, izquierda"
K900,celiaca,K900,celiaca,True,D,Enfermedad celíaca
O480,gestación cronológicamente prolongada.,O480,gestación cronológicamente prolongada.,True,D,Embarazo postérmino
O721,Hemorragia puerperal,O721,Hemorragia puerperal,True,D,Otras hemorragias del posparto inmediato
I739,Claudicacion intermitente,I739,Claudicacion intermitente,True,D,"Enfermedad vascular periférica, no especificada"
B24DZZZ,Ecocardiografía nen,B24DZZZ,Ecocardiografía nen,True,P,Ecografía de corazón pediátrico
E11649,Diabetes hipoglucemia,E11649,Diabetes hipoglucemia,True,D,Diabetes mellitus tipo 2 con hipoglucemia sin coma
O1414,Preeclampsia gravedad,O1414,Preeclampsia gravedad,True,D,"Preeclampsia grave, que complica el parto"
Q7649,Hemivértebra,Q7649,Hemivértebra,True,D,Otras malformaciones congénitas de la columna vertebral no asociadas a escoliosis
1151,suturó cornea,1151,suturó cornea,False,,
N139,UROPATÍA OBSTRUCTIVA BILATERAL,N139,UROPATÍA OBSTRUCTIVA BILATERAL,True,D,"Uropatía obstructiva y por reflujo, no especificada"
G40909,Epilpesia part,G40909,Epilpesia part,True,D,"Epilepsia, no especificada, no intratable, sin estado de mal epiléptico"
F1010,alcohol ocasional,F1010,alcohol ocasional,True,D,"Abuso de alcohol, sin complicaciones"
78341,Estancamiento pondoestatural,78341,Estancamiento pondoestatural,False,,
T80211A,Bacteriemia CVC,T80211A,Bacteriemia CVC,True,D,"Infección del torrente sanguíneo por (debida a) catéter venoso central, contacto inicial"
78341,Estancamiento ponderal,78341,Estancamiento ponderal,False,,
Z9049,Hemicolectomía,Z9049,Hemicolectomía,True,D,Ausencia adquirida de otras partes especificadas del tracto digestivo
O6014X0,pp,O6014X0,pp,True,D,"Trabajo de parto prematuro en el tercer trimestre con parto prematuro del tercer trimestre, no aplicable o no especificado"
R55,vaso vagales,R55,vaso vagales,True,D,Síncope y colapso
G5702,Sd. piramidal izquierdo,G5702,Sd. piramidal izquierdo,True,D,"Lesión de nervio ciático, extremidad inferior izquierda"
Z3A40,40 +2 semanas,Z3A40,40 +2 semanas,True,D,40 semanas de gestación
O621,FPP,O621,FPP,True,D,Inercia uterina secundaria
C61,NEOPLASIA PROSTÁTICA,C61,NEOPLASIA PROSTÁTICA,True,D,Neoplasia maligna de próstata
65681,malas condiciones obstétricas,65681,malas condiciones obstétricas,False,,
J90,vessament pleural dret,J90,vessament pleural dret,True,D,"Derrame pleural, no clasificable bajo otro concepto"
5533,hernia de hiato,5533,hernia de hiato,False,,
O30033,Monocorial biamniótica,O30033,Monocorial biamniótica,True,D,"Embarazo gemelar monocoriónico/ diamniótico, tercer trimestre"
0UT90ZZ,Histerectomia total,0UT90ZZ,Histerectomia total,True,P,"Resección de útero, abordaje abierto"
Z8611,ha Tuberculosis,Z8611,ha Tuberculosis,True,D,Historia personal de tuberculosis
E0590,hipertiroidismo part,E0590,hipertiroidismo part,True,D,"Tirotoxicosis, no especificada sin crisis tirotóxica ni tormenta tiroidea"
N3090,Cistitis,N3090,Cistitis,True,D,"Cistitis, no especificada, sin hematuria"
T07XXXA,Politraumatismo,T07XXXA,Politraumatismo,True,D,"Traumatismos múltiples no especificados, contacto inicial"
O702,Desgarro III grado,O702,Desgarro III grado,True,D,Desgarro perineal de tercer grado en el parto
Z8616,Historia de SARS-CoV-2,Z8616,Historia de SARS-CoV-2,True,D,Historia personal de COVID-19
M50221,Hernia discal C4-C5,M50221,Hernia discal C4-C5,True,D,Otro desplazamiento de disco cervical a nivel de C4-C5
K429,Hernia umbilical,K429,Hernia umbilical,True,D,Hernia umbilical sin obstrucción ni gangrena
O99212,obesidad 2t,O99212,obesidad 2t,True,D,"Obesidad que complica el embarazo, segundo trimestre"
D259,Utero miomatoso part,D259,Utero miomatoso part,True,D,"Leiomioma de útero, no especificado"
V441,Portadora de PEG,V441,Portadora de PEG,True,D,Pasajero de coche lesionado en colisión con vehículo de transporte pesado o autobús en un accidente no de tráfico
8876,ecografía abdomen,8876,ecografía abdomen,False,,
K831,COLESTASIS parto,K831,COLESTASIS parto,True,D,Obstrucción de conducto biliar
O09213,Historia parto prematuridad,O09213,Historia parto prematuridad,True,D,"Supervisión de embarazo con historia de parto prematuro, tercer trimestre"
20400,leucemia aguda linfoblastica,20400,leucemia aguda linfoblastica,False,,
N179,leve deterioro de la función renal,N179,leve deterioro de la función renal,True,D,"Fallo renal agudo, no especificado"
R079,dolor torácico,R079,dolor torácico,True,D,"Dolor torácico, no especificado"
E8788,OTRA,E8788,OTRA,False,,
Z6740,Grupo sanguíneo: O +,Z6740,Grupo sanguíneo: O +,True,D,"Grupo sanguíneo O, Rh positivo"
BQ03ZZZ,rx femur der,BQ03ZZZ,rx femur der,True,P,"Radiografía simple de fémur, derecho"
7061,acne,7061,acne,False,,
4053,limfadenectomía pélvica,4053,limfadenectomía pélvica,False,,
I482,FA Crónica,I482,FA Crónica,True,D,Fibrilación auricular crónica
D259,útero miomatoso,D259,útero miomatoso,True,D,"Leiomioma de útero, no especificado"
Z8739,z8739,Z8739,z8739,True,D,Historia personal de otras enfermedades del sistema osteomuscular y del tejido conjuntivo
Z3183,punción folicuar,Z3183,punción folicuar,True,D,Contacto para ciclo de fertilidad de reproducción asistida
C259,ca pancreas,C259,ca pancreas,True,D,"Neoplasia maligna de páncreas, no especificada"
K5732,K57.32,K5732,K57.32,True,D,"Diverticulitis de colon sin perforación ni absceso, sin hemorragia"
V4382,Prótesis mamaria,V4382,Prótesis mamaria,False,,
N83202,quiste anexiales bilateral,N83202,quiste anexiales bilateral,True,D,"Quiste ovárico no especificado, lado izquierdo"
Z6740,Grupo sanguíneo:0 Rh positivo,Z6740,Grupo sanguíneo:0 Rh positivo,True,D,"Grupo sanguíneo O, Rh positivo"
O2412,DM2 part,O2412,DM2 part,True,D,"Diabetes mellitus tipo 2 preexistente, en el parto"
BW40ZZZ,EcoAbdominal,BW40ZZZ,EcoAbdominal,True,P,Ecografía de abdomen
O9989,Artritis reumatoide parto,O9989,Artritis reumatoide parto,True,D,"Otras enfermedades y afecciones especificadas que complican el embarazo, parto y puerperio"
O6003,APP,O6003,APP,True,D,"Trabajo de parto prematuro sin parto, tercer trimestre"
N411,PROSTATITIS CRONICA,N411,PROSTATITIS CRONICA,True,D,Prostatitis crónica
J432,Enfisema pulmonar centroacinar,J432,Enfisema pulmonar centroacinar,True,D,Enfisema centrolobulillar
O85,Septicemia puerperal,O85,Septicemia puerperal,True,D,Sepsis puerperal
Z302,ESTERILIZACION,Z302,ESTERILIZACION,True,D,Contacto para esterilización
5680,adherencias peritoneales,5680,adherencias peritoneales,False,,
73730,Escoliosis parto,73730,Escoliosis parto,False,,
3E03329,Antibioteràpia,3E03329,Antibioteràpia,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
K5641,Fecaloma,K5641,Fecaloma,True,D,Impactación fecal
Z3A40,40 semanas,Z3A40,40 semanas,True,D,40 semanas de gestación
Z6710,GsRh: A positivo,Z6710,GsRh: A positivo,True,D,"Grupo sanguíneo A, Rh positivo"
7137,LES con afectación articular,7137,LES con afectación articular,False,,
O80,Parto,O80,Parto,True,D,Admisión para el parto a término no complicado
E8788,otra,E8788,otra,False,,
Z6710,Grupo sanguíneo materno A+,Z6710,Grupo sanguíneo materno A+,True,D,"Grupo sanguíneo A, Rh positivo"
3E03329,antibioticos,3E03329,antibioticos,True,P,"Introducción en vena periférica de anti-infeccioso, otro anti-infeccioso, abordaje percutáneo"
650,Parto,650,Parto,False,,
0DQR0ZZ,desgarro grado IIIA,0DQR0ZZ,desgarro grado IIIA,True,P,"Reparación de esfínter anal, abordaje abierto"
0DQR0ZZ,Desgarro perineal IIIA,0DQR0ZZ,Desgarro perineal IIIA,True,P,"Reparación de esfínter anal, abordaje abierto"
Z3A41,41 +3 semanas,Z3A41,41 +3 semanas,True,D,41 semanas de gestación
73392,condromalacia,73392,condromalacia,False,,
O24424,diabetes gestacional con insulina,O24424,diabetes gestacional con insulina,True,D,"Diabetes mellitus gestacional en el parto, controlada con insulina"
N179,INSUFICIENCIA RENAL AGUDA,N179,INSUFICIENCIA RENAL AGUDA,True,D,"Fallo renal agudo, no especificado"
M3500,SÍNDROME SECA,M3500,SÍNDROME SECA,True,D,"Síndrome de Sjögren, no especificado"
